player_name,ath__athleticism_score,stature__height_inches,stature__weight_lbs,stature__wingspan_in,shot__total_fga,shot__freq_rim,shot__freq_paint,shot__freq_mid,shot__freq_corner3,shot__freq_atb3,shot__freq_three,shot__freq_rim_plus_paint,shot__rim_fg_pct,shot__mid_fg_pct,shot__corner3_pct,shot__atb3_pct,pass__minutes,pass__passer_rating,pass__passing_score,shoot__quality,usage__creation_score,portability__score,defense__crafted_dpm,playstyle__iso_freq,playstyle__pr_handler_freq,playstyle__pr_roll_freq,playstyle__post_freq,playstyle__spotup_freq,playstyle__handoff_freq,playstyle__cut_freq,playstyle__offscreen_freq,position,ath__athleticism_source,dominance__cpm
Guerschon Yabusele,85.83,79.0,265.0,85.0,563.0,0.38365897,0.108348135,0.021314387,0.126110124,0.355239787,0.481349911,0.492007105,0.712962963,0.25,0.352112676,0.395,1895.0,4.3,0.43,54.0,0.24432692032686,5.7,-0.9,0.0,0.0,23.0,10.7,27.5,0.0,8.3,0.0,F,imputed,-1.0
Gui Santos,85.83,80.0,210.0,85.0,179.0,0.290502793,0.122905028,0.011173184,0.217877095,0.351955307,0.569832402,0.413407821,0.75,1.0,0.384615385,0.301587302,762.0,6.0,0.6,48.7,0.1876922728964851,6.1,0.5,0.0,0.0,0.0,0.0,34.7,0.0,20.1,0.0,F,imputed,-0.5
Harrison Barnes,108.67,79.0,225.0,83.25,683.0,0.304538799,0.133235725,0.035139092,0.300146413,0.224011713,0.524158126,0.437774524,0.658653846,0.5,0.473170732,0.385620915,2230.0,3.8,0.38,67.8,0.2184949264876754,9.2,-1.6,5.0,3.6,3.4,6.1,41.7,2.3,4.4,1.6,F,measured,-0.7
Harrison Ingram,90.475,77.0,230.0,84.25,4.0,0.25,0.25,0.25,0.0,0.25,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.07222222222222,0.0,5.0,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,measured,-0.009009009009009009
Haywood Highsmith,85.83,77.0,220.0,83.5,391.0,0.237851662,0.132992327,0.033248082,0.286445013,0.309462916,0.595907928,0.37084399,0.666666667,0.384615385,0.446428571,0.32231405,1818.0,4.5,0.45,54.7,0.0977936158115998,6.6,1.5,0.0,0.0,3.4,0.0,49.9,0.0,11.0,0.0,F,imputed,-0.3
Herbert Jones,80.92,79.0,206.0,84.25,172.0,0.331395349,0.191860465,0.058139535,0.215116279,0.197674419,0.412790698,0.523255814,0.614035088,0.7,0.378378378,0.235294118,648.0,5.6,0.56,54.7,0.2116587504813421,9.4,2.6,0.0,8.4,5.7,0.0,42.3,0.0,0.0,0.0,F,measured,1.8
Hunter Tyson,85.83,80.0,215.0,82.0,120.0,0.216666667,0.108333333,0.058333333,0.191666667,0.425,0.616666667,0.325,0.653846154,0.428571429,0.260869565,0.333333333,400.0,2.5,0.25,56.07222222222222,0.1712901195310746,1.5,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,imputed,-0.009009009009009009
Immanuel Quickley,76.69,74.0,190.0,80.25,438.0,0.146118721,0.244292237,0.095890411,0.057077626,0.4543379,0.511415525,0.390410959,0.578125,0.404761905,0.4,0.376884422,918.0,7.6,0.76,73.6,0.6709388754447493,8.4,0.0,7.3,27.9,0.0,0.0,14.0,11.3,2.6,5.6,G,measured,1.6
Isaac Jones,90.38,81.0,235.0,86.0,83.0,0.554216867,0.337349398,0.012048193,0.072289157,0.024096386,0.096385542,0.891566265,0.760869565,0.0,0.5,0.0,304.0,0.9,0.09,56.07222222222222,0.1915690184164035,1.8,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,measured,-0.009009009009009009
Isaac Okoro,89.825,77.0,225.0,80.5,267.0,0.370786517,0.052434457,0.011235955,0.348314607,0.217228464,0.565543071,0.423220974,0.636363636,0.0,0.387096774,0.344827586,1053.0,4.5,0.45,52.9,0.1315943198804628,5.4,0.9,0.0,0.0,5.4,0.0,45.8,0.0,9.3,0.0,F-G,imputed,0.4555555555555555
Isaiah Collier,83.41,76.0,210.0,76.75,555.0,0.318918919,0.302702703,0.073873874,0.079279279,0.216216216,0.295495495,0.621621622,0.655367232,0.317073171,0.340909091,0.216666667,1839.0,8.6,0.86,36.2,0.4456986660322514,0.4,-1.5,12.2,26.6,0.0,0.0,15.8,5.1,1.8,0.0,G,measured,-3.5
Isaiah Crawford,85.83,78.0,210.0,82.0,11.0,0.181818182,0.363636364,0.0,0.090909091,0.363636364,0.454545455,0.545454545,0.5,0.0,1.0,0.0,0.0,0.0,0.0,56.07222222222222,0.0,5.0,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,imputed,-0.009009009009009009
Isaiah Hartenstein,89.695,84.0,250.0,86.25,480.0,0.422916667,0.495833333,0.041666667,0.00625,0.033333333,0.039583333,0.91875,0.724137931,0.4,0.0,0.0,1590.0,6.9,0.69,27.5,0.2632977712674488,6.2,3.1,1.6,0.0,24.6,0.0,5.1,0.0,34.7,0.0,C-F,imputed,3.2
Isaiah Jackson,85.83,80.0,205.0,86.25,23.0,0.913043478,0.086956522,0.0,0.0,0.0,0.0,1.0,0.619047619,0.0,0.0,0.0,0.0,0.0,0.0,56.07222222222222,0.0,5.0,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,imputed,-0.009009009009009009
Isaiah Joe,80.625,75.0,165.0,79.5,588.0,0.085034014,0.057823129,0.06462585,0.151360544,0.641156463,0.792517007,0.142857143,0.76,0.394736842,0.561797753,0.376657825,1604.0,4.1,0.41,73.3,0.2698955511863429,9.2,0.1,0.0,4.8,9.4,0.0,32.4,16.2,6.6,8.0,G,imputed,1.7
Isaiah Stevens,80.625,72.0,185.0,75.0,2.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.91,0.0,5.0,-0.1460526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,imputed,-0.125
Isaiah Stewart,95.17,80.0,250.0,88.75,315.0,0.577777778,0.231746032,0.022222222,0.028571429,0.13968254,0.168253968,0.80952381,0.681318681,0.428571429,0.333333333,0.318181818,1434.0,5.2,0.52,48.7,0.1442083338290957,7.4,2.2,0.0,0.0,20.4,7.8,8.6,0.0,19.0,0.0,F-C,imputed,0.0
Ivica Zubac,93.27,84.0,240.0,88.0,942.0,0.532908705,0.439490446,0.027600849,0.0,0.0,0.0,0.972399151,0.71314741,0.461538462,0.0,0.0,2624.0,3.9,0.39,21.0,0.2908574983181292,4.3,3.2,0.0,0.0,19.6,27.9,0.9,0.0,20.4,0.0,C,imputed,3.8
JD Davison,79.58,73.0,195.0,78.5,34.0,0.176470588,0.176470588,0.117647059,0.088235294,0.441176471,0.529411765,0.352941176,0.666666667,0.0,0.333333333,0.2,0.0,0.0,0.0,59.91,0.0,5.0,-0.1460526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,measured,-0.125
JT Thor,85.83,81.0,203.0,87.25,59.0,0.288135593,0.186440678,0.169491525,0.186440678,0.169491525,0.355932203,0.474576271,0.705882353,0.4,0.090909091,0.5,0.0,0.0,0.0,56.07222222222222,0.0884021991645889,0.1,0.1448598130841121,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,F,measured,-0.009009009009009009
Ja Morant,80.625,74.0,174.0,78.0,889.0,0.293588301,0.310461192,0.075365579,0.059617548,0.255343082,0.31496063,0.604049494,0.62835249,0.47761194,0.320754717,0.31277533,1519.0,7.1,0.71,60.0,0.8620246217108765,2.1,-0.1,17.8,28.5,0.0,1.3,13.7,1.6,1.2,1.7,F,imputed,2.7
Ja'Kobe Walter,82.23,76.0,180.0,82.0,393.0,0.282442748,0.167938931,0.076335878,0.147582697,0.320610687,0.468193384,0.450381679,0.477477477,0.433333333,0.327586207,0.365079365,1103.0,3.0,0.3,59.2,0.2678186965507141,0.9,-0.5,0.0,13.4,2.1,0.0,32.0,6.7,6.7,5.0,G-F,measured,-1.8
Jabari Smith Jr.,85.83,82.0,220.0,85.0,566.0,0.219081272,0.159010601,0.132508834,0.114840989,0.374558304,0.489399293,0.378091873,0.64516129,0.36,0.353846154,0.353773585,1716.0,1.3,0.13,62.7,0.1884706033859757,5.1,0.2,2.5,2.9,5.5,6.7,31.1,5.0,7.9,4.1,F,imputed,-0.6
Jabari Walker,85.17,79.0,237.0,82.75,229.0,0.519650655,0.131004367,0.034934498,0.152838428,0.15720524,0.310043668,0.650655022,0.663865546,0.25,0.485714286,0.305555556,749.0,2.1,0.21,48.7,0.2061308709116014,1.6,0.1,0.0,0.0,9.2,0.0,35.3,0.0,10.8,0.0,F,measured,-1.0
Jack McVeigh,84.81,80.0,215.0,81.0,17.0,0.058823529,0.058823529,0.117647059,0.352941176,0.411764706,0.764705882,0.117647059,0.0,0.5,0.5,0.142857143,0.0,0.0,0.0,59.91,0.0,5.0,-0.1460526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,imputed,-0.125
Jackson Rowe,85.83,79.0,210.0,82.0,17.0,0.235294118,0.176470588,0.0,0.235294118,0.352941176,0.588235294,0.411764706,0.75,0.0,0.5,0.166666667,0.0,0.0,0.0,59.91,0.0,5.0,-0.1460526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,imputed,-0.125
Jacob Toppin,85.83,80.0,205.0,81.0,22.0,0.409090909,0.090909091,0.045454545,0.272727273,0.181818182,0.454545455,0.5,0.222222222,0.0,0.666666667,0.25,0.0,0.0,0.0,56.07222222222222,0.0,5.0,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,imputed,-0.009009009009009009
Jaden Hardy,80.625,75.0,198.0,81.0,414.0,0.188405797,0.214975845,0.120772947,0.118357488,0.355072464,0.473429952,0.403381643,0.564102564,0.32,0.387755102,0.387755102,907.0,2.7,0.27,56.8,0.4567972904873759,1.1,-2.0,9.0,24.8,0.0,0.0,31.4,4.9,0.0,4.1,G,imputed,-3.2
Jaden Ivey,80.625,75.0,195.0,81.0,413.0,0.317191283,0.213075061,0.0968523,0.079903148,0.285714286,0.365617433,0.530266344,0.595419847,0.35,0.363636364,0.43220339,898.0,4.7,0.47,58.1,0.5609287593903617,0.9,-1.7,7.7,26.4,0.0,0.0,16.9,7.9,4.3,2.5,F,imputed,-1.6
Jaden McDaniels,85.83,81.0,185.0,83.0,834.0,0.298561151,0.241007194,0.097122302,0.195443645,0.164268585,0.35971223,0.539568345,0.706827309,0.419753086,0.319018405,0.350364964,2614.0,3.4,0.34,57.3,0.2173508299792105,5.2,1.6,1.8,8.3,3.4,0.0,45.1,2.8,7.0,2.3,F,imputed,1.3
Jaden Springer,91.75,76.0,202.0,79.75,90.0,0.2,0.244444444,0.022222222,0.255555556,0.266666667,0.522222222,0.444444444,0.777777778,0.5,0.173913043,0.333333333,365.0,5.0,0.5,59.91,0.1874155053096408,1.7,-0.1460526315789473,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,G,measured,-0.125
Jae Crowder,97.1,78.0,235.0,81.25,22.0,0.045454545,0.136363636,0.136363636,0.363636364,0.318181818,0.681818182,0.181818182,1.0,0.666666667,0.25,0.285714286,0.0,0.0,0.0,59.91,0.0,5.0,-0.1460526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,measured,-0.125
Jae'Sean Tate,85.83,76.0,230.0,80.0,148.0,0.371621622,0.304054054,0.013513514,0.209459459,0.101351351,0.310810811,0.675675676,0.672727273,0.5,0.451612903,0.133333333,588.0,4.9,0.49,46.1,0.1710117057867018,5.0,2.1,6.8,0.0,0.0,0.0,30.0,0.0,11.1,0.0,F,imputed,0.5
Jahmir Young,80.625,73.0,185.0,75.0,5.0,0.6,0.0,0.0,0.0,0.4,0.4,0.6,1.0,0.0,0.0,0.5,0.0,0.0,0.0,39.917142857142856,0.0,5.0,0.9617647058823532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,imputed,0.6027777777777777
Jaime Jaquez Jr.,100.28,78.0,225.0,81.5,462.0,0.41991342,0.270562771,0.051948052,0.138528139,0.114718615,0.253246753,0.69047619,0.613402062,0.375,0.28125,0.358490566,1368.0,5.6,0.56,48.8,0.3718243893523353,5.4,0.0,9.0,17.6,0.0,5.2,26.3,2.9,6.9,1.6,G,measured,-1.3
Jake LaRavia,84.71,79.0,235.0,81.5,337.0,0.326409496,0.222551929,0.029673591,0.112759644,0.302670623,0.415430267,0.548961424,0.672727273,0.3,0.368421053,0.441176471,1349.0,6.0,0.6,50.8,0.2360143671472653,6.6,0.2,0.0,3.1,0.0,0.0,36.6,9.0,7.6,0.0,F,measured,-0.7
Jakob Poeltl,93.27,84.0,253.0,86.75,579.0,0.537132988,0.379965458,0.077720207,0.001727116,0.001727116,0.003454231,0.917098446,0.736334405,0.533333333,1.0,0.0,1686.0,4.2,0.42,26.0,0.2811407256380669,2.7,2.4,1.6,0.0,24.9,7.1,3.3,0.0,24.3,0.0,G,imputed,2.2
Jakob Poeltl,93.27,84.0,253.0,86.75,579.0,0.537132988,0.379965458,0.077720207,0.001727116,0.001727116,0.003454231,0.917098446,0.736334405,0.533333333,1.0,0.0,1686.0,4.2,0.42,26.0,0.2811407256380669,2.7,2.4,1.6,0.0,24.9,7.1,3.3,0.0,24.3,0.0,G,imputed,2.2
Jalen Bridges,75.49,79.0,214.0,82.0,7.0,0.0,0.0,0.0,0.428571429,0.571428571,1.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,39.917142857142856,0.0,5.0,0.9617647058823532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,measured,0.6027777777777777
Jalen Brunson,79.59,74.0,190.0,76.0,1200.0,0.188333333,0.291666667,0.189166667,0.049166667,0.281666667,0.330833333,0.48,0.64159292,0.449339207,0.406779661,0.378698225,2301.0,7.3,0.73,66.9,0.8200655959355974,5.7,-1.6,17.3,39.4,0.0,3.0,10.1,6.0,2.0,3.0,G,measured,2.9
Jalen Duren,93.27,82.0,250.0,89.0,546.0,0.794871795,0.1996337,0.005494505,0.0,0.0,0.0,0.994505495,0.728110599,1.0,0.0,0.0,2034.0,4.9,0.49,22.8,0.2353098404880968,6.7,0.9,6.2,2.5,16.0,3.8,3.5,0.0,17.2,0.0,G,imputed,1.2
Jalen Green,80.625,76.0,186.0,79.5,1437.0,0.242867084,0.145441893,0.151704941,0.051496173,0.40848991,0.459986082,0.388308977,0.641833811,0.362385321,0.378378378,0.350936968,2697.0,3.8,0.38,66.6,0.5512205574995729,3.7,-1.7,11.4,42.8,0.0,0.0,13.5,7.1,1.7,2.5,F,imputed,-0.5
Jalen Hood-Schifino,80.625,77.0,210.0,82.25,98.0,0.142857143,0.173469388,0.214285714,0.06122449,0.408163265,0.469387755,0.316326531,0.357142857,0.476190476,0.5,0.275,315.0,5.5,0.55,59.91,0.28810960237751,1.2,-0.1460526315789473,0.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,G,imputed,-0.125
Jalen Johnson,85.83,80.0,219.0,84.25,542.0,0.407749077,0.260147601,0.07195572,0.081180812,0.175276753,0.256457565,0.667896679,0.719457014,0.358974359,0.318181818,0.315789474,1284.0,5.8,0.58,48.7,0.4549789126862216,5.4,1.8,2.7,14.2,8.7,4.1,22.8,4.6,7.1,0.0,F-C,imputed,1.9
Jalen Pickett,78.36,74.0,202.0,79.25,180.0,0.122222222,0.155555556,0.161111111,0.211111111,0.344444444,0.555555556,0.277777778,0.727272727,0.275862069,0.447368421,0.370967742,666.0,8.6,0.86,58.7,0.2569714281338244,8.2,0.0,0.0,19.9,0.0,0.0,34.5,0.0,0.0,0.0,G,measured,-1.2
Jalen Smith,95.17,81.0,215.0,86.25,408.0,0.345588235,0.085784314,0.024509804,0.093137255,0.448529412,0.541666667,0.431372549,0.687943262,0.2,0.342105263,0.316939891,962.0,3.4,0.34,60.0,0.3315077830004684,6.3,0.1,0.0,0.0,22.9,0.0,23.6,0.0,7.9,2.7,G-F,imputed,1.0
Jalen Suggs,80.625,77.0,205.0,77.5,481.0,0.174636175,0.189189189,0.133056133,0.074844075,0.41995842,0.494802495,0.363825364,0.738095238,0.359375,0.444444444,0.297029703,1002.0,4.0,0.4,67.7,0.5649132387511273,2.2,2.1,7.6,32.1,1.7,0.0,18.6,8.1,0.0,3.3,F,imputed,2.1
Jalen Williams,92.12,77.0,211.0,86.25,1168.0,0.251712329,0.278253425,0.178938356,0.029965753,0.261130137,0.29109589,0.529965753,0.663265306,0.459330144,0.371428571,0.363934426,2237.0,6.4,0.64,59.5,0.6429024085465482,8.4,1.1,9.1,34.5,0.0,0.0,18.5,6.0,4.2,2.8,F,measured,2.9
Jalen Wilson,94.72,78.0,220.0,80.0,620.0,0.232258065,0.166129032,0.017741935,0.182258065,0.4,0.582258065,0.398387097,0.618055556,0.363636364,0.336283186,0.338709677,2031.0,3.9,0.39,61.3,0.2333536796441109,5.2,-1.1,4.8,7.7,1.6,0.0,41.3,6.2,5.5,1.9,G,measured,-2.6
Jamal Cain,85.83,79.0,190.0,83.0,158.0,0.240506329,0.202531646,0.050632911,0.246835443,0.259493671,0.506329114,0.443037975,0.657894737,0.25,0.307692308,0.341463415,502.0,1.5,0.15,48.4,0.2024652676084895,0.3,-0.5,0.0,5.4,0.0,0.0,40.6,0.0,0.0,0.0,G,imputed,-2.1
Jamal Murray,80.625,76.0,215.0,78.5,1121.0,0.190900981,0.206958073,0.247992864,0.035682426,0.315789474,0.3514719,0.397859054,0.644859813,0.449640288,0.375,0.398305085,2418.0,6.6,0.66,75.1,0.5741284485285433,7.4,-1.1,9.8,34.0,0.9,3.8,8.8,13.8,4.0,4.1,G,imputed,1.6
Jamal Shead,82.34,73.0,200.0,75.0,504.0,0.212301587,0.267857143,0.077380952,0.069444444,0.365079365,0.43452381,0.48015873,0.588785047,0.282051282,0.4,0.315217391,1467.0,8.5,0.85,53.6,0.4422578057175834,1.5,-1.2,5.0,29.3,0.0,0.0,22.1,7.1,3.3,2.8,G,measured,-3.0
Jamaree Bouyea,80.625,74.0,180.0,77.0,12.0,0.333333333,0.25,0.0,0.0,0.416666667,0.416666667,0.583333333,0.75,0.0,0.0,0.2,0.0,0.0,0.0,56.07222222222222,0.0,5.0,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,imputed,-0.009009009009009009
James Harden,92.14,77.0,220.0,82.75,1295.0,0.158301158,0.240926641,0.084942085,0.023166023,0.492664093,0.515830116,0.399227799,0.590243902,0.445454545,0.4,0.349529781,2789.0,8.2,0.82,74.8,0.8400912964606687,9.3,0.5,36.1,27.0,0.0,0.8,7.3,5.2,0.0,0.5,F,measured,3.9
James Johnson,100.89,79.0,240.0,84.0,11.0,0.363636364,0.090909091,0.272727273,0.0,0.272727273,0.272727273,0.454545455,0.75,0.0,0.0,0.0,0.0,0.0,0.0,56.07222222222222,0.0,5.0,0.1448598130841121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,measured,-0.009009009009009009
Jamison Battle,85.83,79.0,220.0,80.0,347.0,0.11815562,0.07204611,0.063400576,0.311239193,0.435158501,0.746397695,0.190201729,0.536585366,0.454545455,0.407407407,0.40397351,1042.0,2.9,0.29,71.0,0.1849358584939504,6.4,-1.5,0.0,3.7,4.5,0.0,39.1,6.6,6.9,11.3,G,imputed,-2.8
Jarace Walker,108.14,79.0,235.0,86.5,360.0,0.225,0.180555556,0.080555556,0.127777778,0.383333333,0.511111111,0.405555556,0.567901235,0.448275862,0.413043478,0.405797101,1187.0,4.5,0.45,52.6,0.2688201238711202,9.1,0.2,4.3,15.8,2.6,0.0,37.7,4.9,5.4,0.0,G,measured,-1.6
Jared Butler,80.625,75.0,193.0,76.0,453.0,0.236203091,0.304635762,0.086092715,0.08388521,0.289183223,0.373068433,0.540838852,0.672897196,0.461538462,0.447368421,0.328244275,1044.0,8.4,0.84,62.3,0.6034197895992607,5.8,-0.6,12.35,39.35,0.0,0.0,12.8,3.2,0.0,0.0,G,imputed,-0.3
Jared McCain,73.93,75.0,195.0,75.5,274.0,0.255474453,0.193430657,0.065693431,0.109489051,0.375912409,0.48540146,0.448905109,0.585714286,0.5,0.333333333,0.398058252,592.0,4.1,0.41,71.2,0.4856825993903326,7.2,-1.8,6.5,29.8,0.0,0.0,26.5,4.8,0.0,5.1,F-C,measured,-1.7
Jared Rhoden,80.625,78.0,210.0,83.0,87.0,0.471264368,0.057471264,0.022988506,0.206896552,0.24137931,0.448275862,0.528735632,0.682926829,0.0,0.444444444,0.19047619,227.0,3.2,0.32,56.07222222222222,0.3152600572727311,3.8,0.1448598130841121,0.0,0.0,0.0,0.0,32.3,11.1,0.0,0.0,F,imputed,-0.009009009009009009
