player_id,player_name,team,total_fga,freq_rim,freq_paint,freq_mid,freq_corner3,freq_atb3,freq_three,freq_rim_plus_paint,rim_fg_pct,mid_fg_pct,corner3_pct,atb3_pct
1630639,A.J. Lawson,TOR,190,0.363157895,0.089473684,0.015789474,0.189473684,0.342105263,0.531578947,0.452631579,0.565217391,0.333333333,0.305555556,0.338461538
203932,Aaron Gordon,DEN,497,0.432595573,0.116700201,0.104627767,0.130784708,0.213279678,0.344064386,0.549295775,0.646511628,0.5,0.476923077,0.41509434
1628988,Aaron Holiday,HOU,268,0.082089552,0.160447761,0.082089552,0.134328358,0.537313433,0.671641791,0.242537313,0.727272727,0.5,0.472222222,0.381944444
1630174,Aaron Nesmith,IND,379,0.263852243,0.134564644,0.08707124,0.205804749,0.308707124,0.514511873,0.398416887,0.68,0.454545455,0.5,0.384615385
1630598,Aaron Wiggins,OKC,728,0.32967033,0.15521978,0.049450549,0.159340659,0.304945055,0.464285714,0.48489011,0.691666667,0.388888889,0.353448276,0.400900901
1641745,Adam Flagler,OKC,96,0.0625,0.083333333,0.104166667,0.09375,0.65625,0.75,0.145833333,0.666666667,0.5,0,0.222222222
1641737,Adem Bona,PHI,192,0.848958333,0.135416667,0.010416667,0.005208333,0,0.005208333,0.984375,0.73006135,0,0,0
1631260,AJ Green,MIL,424,0.030660377,0.025943396,0.087264151,0.264150943,0.58490566,0.849056604,0.056603774,0.615384615,0.351351351,0.526785714,0.383064516
1642358,AJ Johnson,WAS,213,0.370892019,0.183098592,0.023474178,0.056338028,0.356807512,0.41314554,0.55399061,0.569620253,0.2,0.416666667,0.25
1642349,Ajay Mitchell,OKC,184,0.293478261,0.304347826,0.076086957,0.097826087,0.222826087,0.320652174,0.597826087,0.62962963,0.428571429,0.388888889,0.390243902
201143,Al Horford,BOS,461,0.164859002,0.127982646,0.026030369,0.229934924,0.449023861,0.678958785,0.292841649,0.697368421,0.166666667,0.377358491,0.357487923
202692,Alec Burks,MIA,271,0.070110701,0.099630996,0.066420664,0.380073801,0.380073801,0.760147601,0.169741697,0.421052632,0.444444444,0.40776699,0.446601942
1627936,Alex Caruso,OKC,314,0.347133758,0.079617834,0.031847134,0.200636943,0.340764331,0.541401274,0.426751592,0.642201835,0.2,0.412698413,0.317757009
1642505,Alex Ducas,OKC,30,0.133333333,0.1,0.066666667,0.3,0.4,0.7,0.233333333,0.25,0.5,0.555555556,0.416666667
203458,Alex Len,LAL,63,0.444444444,0.349206349,0.063492063,0.063492063,0.079365079,0.142857143,0.793650794,0.607142857,0.25,0.25,0.2
1642024,Alex Reese,PHI,54,0.166666667,0.055555556,0.018518519,0.277777778,0.462962963,0.740740741,0.222222222,1,1,0.2,0.48
1642259,Alex Sarr,WAS,828,0.231884058,0.268115942,0.088164251,0.064009662,0.347826087,0.411835749,0.5,0.635416667,0.369863014,0.358490566,0.298611111
1630578,Alperen Sengun,HOU,1143,0.420822397,0.407699038,0.092738408,0.005249344,0.073490814,0.078740157,0.828521435,0.648648649,0.377358491,0.333333333,0.226190476
1641708,Amen Thompson,HOU,697,0.512195122,0.259684362,0.097560976,0.077474892,0.050215208,0.1276901,0.771879484,0.719887955,0.382352941,0.37037037,0.142857143
1629599,Amir Coffey,LAC,510,0.207843137,0.18627451,0.121568627,0.184313725,0.3,0.484313725,0.394117647,0.650943396,0.5,0.457446809,0.379084967
203083,Andre Drummond,PHI,234,0.64957265,0.226495726,0.038461538,0.034188034,0.042735043,0.076923077,0.876068376,0.592105263,0.444444444,0.25,0.1
1641748,Andre Jackson Jr.,MIL,197,0.395939086,0.16751269,0.050761421,0.218274112,0.16751269,0.385786802,0.563451777,0.653846154,0.5,0.372093023,0.424242424
1629614,Andrew Nembhard,IND,539,0.220779221,0.228200371,0.226345083,0.087198516,0.235621521,0.322820037,0.448979592,0.697478992,0.459016393,0.29787234,0.291338583
203952,Andrew Wiggins,MIA,839,0.231227652,0.241954708,0.112038141,0.071513707,0.343265793,0.414779499,0.47318236,0.577319588,0.414893617,0.416666667,0.364583333
1629014,Anfernee Simons,POR,1125,0.166222222,0.182222222,0.124444444,0.052444444,0.470222222,0.522666667,0.348444444,0.614973262,0.471428571,0.355932203,0.366729679
1641710,Anthony Black,ORL,620,0.346774194,0.248387097,0.090322581,0.125806452,0.187096774,0.312903226,0.59516129,0.576744186,0.303571429,0.397435897,0.267241379
203076,Anthony Davis,DAL,910,0.36043956,0.298901099,0.204395604,0.012087912,0.124175824,0.136263736,0.659340659,0.722560976,0.424731183,0.090909091,0.300884956
1630162,Anthony Edwards,MIN,1612,0.225186104,0.141439206,0.130272953,0.062034739,0.434863524,0.496898263,0.36662531,0.633608815,0.376190476,0.43,0.395149786
